127.0.0.1 - - [19/Jul/2022:09:59:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2022:09:59:28 +0900] "GET /myapp/img/img_main/line_nav.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:09:59:28 +0900] "GET /myapp/img/alrimpan_banner/board211005.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:09:59:28 +0900] "GET /myapp/img/program/c.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:09:59:28 +0900] "GET /myapp/img/program/Java.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:09:59:28 +0900] "GET /myapp/img/program/javascript.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:09:59:28 +0900] "GET /myapp/img/program/cplus.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:09:59:28 +0900] "GET /myapp/img/program/Python_bw-e1644511228977.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:09:59:28 +0900] "GET /myapp/img/program/PLSQL_BW.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:09:59:28 +0900] "GET /myapp/img/img_main/ps_list_icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:09:59:28 +0900] "GET /myapp/img/img_main/icon_list_breif.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:09:59:28 +0900] "GET /myapp/img/img_main/sns_icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:09:59:28 +0900] "GET /myapp/img/img_main/icon_link_open.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:09:59:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jul/2022:09:59:29 +0900] "GET /myapp/img/img_main/nav_on.png HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:00:27 +0900] "GET / HTTP/1.1" 404 807
192.168.200.25 - - [19/Jul/2022:10:00:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/ HTTP/1.1" 200 45078
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/css/NotoSansKR-Hestia_Main.css HTTP/1.1" 200 1243
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/css/style_layout_master.css HTTP/1.1" 200 46051
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/css/master.css HTTP/1.1" 200 37811
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/css/style_board.css HTTP/1.1" 200 26536
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/css/reset_new_n.css HTTP/1.1" 200 2026
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/css/style_content.css HTTP/1.1" 200 78121
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/css/code.css HTTP/1.1" 200 232717
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/js/alrimpan.js HTTP/1.1" 200 3661
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/js/rollingIndexBanner.js HTTP/1.1" 200 1780
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/js/common.js HTTP/1.1" 200 14363
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/js/menuNew.js HTTP/1.1" 200 3436
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/js/mainBodo.js HTTP/1.1" 200 4184
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/js/new_main.js HTTP/1.1" 200 9127
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/img_main/kogl.gif HTTP/1.1" 200 2183
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/logo2.png HTTP/1.1" 200 42793
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/img_main/ico_wa.jpg HTTP/1.1" 200 2672
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/main_bg_list.png HTTP/1.1" 200 3591
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/img_main/line_nav.gif HTTP/1.1" 200 1096
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/img_main/info_link_icon.png HTTP/1.1" 200 11262
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/program/c.svg HTTP/1.1" 200 1125
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/program/Python_bw-e1644511228977.png HTTP/1.1" 200 1812
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/program/PLSQL_BW.png HTTP/1.1" 200 2181
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/program/cplus.svg HTTP/1.1" 200 3677
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/program/javascript.svg HTTP/1.1" 200 2245
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/program/Java.png HTTP/1.1" 200 950
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/alrimpan_banner/banner_0628_01.png HTTP/1.1" 200 24496
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/alrimpan_banner/banner_0602_01.png HTTP/1.1" 200 33444
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/alrimpan_banner/banner_0527_01.png HTTP/1.1" 200 63207
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/alrimpan_banner/banner_0623_02.png HTTP/1.1" 200 42692
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/alrimpan_banner/banner_0627_03.png HTTP/1.1" 200 16747
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/alrimpan_banner/banner_0609_01.png HTTP/1.1" 200 49604
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/img_main/banner_0328_01.png HTTP/1.1" 200 9933
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/img_main/banner210625.png HTTP/1.1" 200 1953
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/img_main/icon_list_breif.png HTTP/1.1" 200 1105
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/alrimpan_banner/board211005.jpg HTTP/1.1" 200 73002
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/img_main/ps_list_icon.png HTTP/1.1" 200 23140
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/img_main/icon_link_open.png HTTP/1.1" 200 1080
192.168.200.25 - - [19/Jul/2022:10:00:52 +0900] "GET /myapp/img/img_main/sns_icon.png HTTP/1.1" 200 4832
192.168.200.25 - - [19/Jul/2022:10:00:57 +0900] "GET /myapp/img/img_main/nav_on.png HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/board/list.do HTTP/1.1" 200 22009
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/img/img_main/slnb_depth1.png HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/img/img_main/slnb_depth2.gif HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/img/img_main/path_home.png HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/img/img_main/print_icon.gif HTTP/1.1" 200 255
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/img/img_main/link_icon.gif HTTP/1.1" 200 620
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/img/board_img/path_arrow.png HTTP/1.1" 200 1004
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/img/board_img/open_info_icon01.png HTTP/1.1" 200 1701
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/img/board_img/h3_tit.png HTTP/1.1" 200 1171
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/img/board_img/open_info_icon03.png HTTP/1.1" 200 1690
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/img/board_img/open_info_icon02.png HTTP/1.1" 200 1558
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/img/board_img/ctb_icon0101.png HTTP/1.1" 200 2348
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:07 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:14 +0900] "GET /myapp/board/list2.do HTTP/1.1" 200 21927
192.168.200.25 - - [19/Jul/2022:10:01:14 +0900] "GET /myapp/img/img_main/slnb_depth2.gif HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:14 +0900] "GET /myapp/img/img_main/slnb_depth1.png HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:14 +0900] "GET /myapp/img/img_main/path_home.png HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:14 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:14 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:14 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:14 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:14 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:14 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:19 +0900] "GET /myapp/board/list4.do HTTP/1.1" 200 23047
192.168.200.25 - - [19/Jul/2022:10:01:19 +0900] "GET /myapp/img/board_img/li_bul1.png HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:19 +0900] "GET /myapp/img/img_main/path_home.png HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:19 +0900] "GET /myapp/img/img_main/slnb_depth1.png HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:19 +0900] "GET /myapp/img/img_main/slnb_depth2.gif HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:19 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:19 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:19 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:19 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:19 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:19 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:23 +0900] "GET /myapp/board/list5.do HTTP/1.1" 200 24861
192.168.200.25 - - [19/Jul/2022:10:01:23 +0900] "GET /myapp/img/img_main/slnb_depth1.png HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:23 +0900] "GET /myapp/img/img_main/path_home.png HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:23 +0900] "GET /myapp/img/img_main/slnb_depth2.gif HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:23 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:23 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:23 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:23 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:23 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:23 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:33 +0900] "GET /myapp/notice/list.do HTTP/1.1" 200 18059
192.168.200.25 - - [19/Jul/2022:10:01:33 +0900] "GET /myapp/inc/datatables.min.css HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:33 +0900] "GET /myapp/inc/datatables.min.js HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:33 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:33 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:33 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:33 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:33 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:33 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:39 +0900] "GET /myapp/member/loginForm.do HTTP/1.1" 200 18510
192.168.200.25 - - [19/Jul/2022:10:01:39 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:39 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:39 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:39 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:39 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:39 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:42 +0900] "POST /myapp/member/signin.do HTTP/1.1" 302 -
192.168.200.25 - - [19/Jul/2022:10:01:42 +0900] "GET /myapp/ HTTP/1.1" 200 45178
192.168.200.25 - - [19/Jul/2022:10:01:44 +0900] "GET /myapp/img/img_main/nav_on.png HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:47 +0900] "GET /myapp/notice/list.do HTTP/1.1" 200 18296
192.168.200.25 - - [19/Jul/2022:10:01:47 +0900] "GET /myapp/inc/datatables.min.css HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:47 +0900] "GET /myapp/inc/datatables.min.js HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:47 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:47 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:47 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:47 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:47 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:47 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:57 +0900] "GET /myapp/ HTTP/1.1" 200 45178
192.168.200.25 - - [19/Jul/2022:10:01:57 +0900] "GET /myapp/img/img_main/nav_on.png HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:58 +0900] "GET /myapp/databank/list.do HTTP/1.1" 200 17455
192.168.200.25 - - [19/Jul/2022:10:01:58 +0900] "GET /myapp/databank/common.css HTTP/1.1" 200 10177
192.168.200.25 - - [19/Jul/2022:10:01:58 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:58 +0900] "GET /myapp/data/iconset_white30.png HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:58 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:58 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:58 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:58 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:01:58 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:02:01 +0900] "GET /myapp/databank/writeForm.do HTTP/1.1" 200 18768
192.168.200.25 - - [19/Jul/2022:10:02:01 +0900] "GET /myapp/data/bg_sub_top1.jpg HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:02:01 +0900] "GET /myapp/databank/reset.css HTTP/1.1" 200 566
192.168.200.25 - - [19/Jul/2022:10:02:01 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:02:01 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:02:01 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:02:01 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:02:01 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:02:01 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.otf HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:02:25 +0900] "GET /myapp/databank/uploadForm.do HTTP/1.1" 200 2663
192.168.200.25 - - [19/Jul/2022:10:02:25 +0900] "GET /databank/reset.css HTTP/1.1" 404 829
192.168.200.25 - - [19/Jul/2022:10:02:25 +0900] "GET /databank/common.css HTTP/1.1" 404 830
192.168.200.25 - - [19/Jul/2022:10:02:28 +0900] "POST /myapp/databank/uploadForm.do HTTP/1.1" 200 2918
192.168.200.25 - - [19/Jul/2022:10:02:28 +0900] "GET /databank/common.css HTTP/1.1" 404 830
192.168.200.25 - - [19/Jul/2022:10:02:28 +0900] "GET /databank/reset.css HTTP/1.1" 404 829
192.168.200.25 - - [19/Jul/2022:10:02:32 +0900] "POST /myapp/databank/insert.do HTTP/1.1" 302 -
192.168.200.25 - - [19/Jul/2022:10:02:32 +0900] "GET /myapp/databank/list.do HTTP/1.1" 200 17640
192.168.200.25 - - [19/Jul/2022:10:02:34 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:02:34 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff2 HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:02:34 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Regular-Hestia.woff HTTP/1.1" 404 721
192.168.200.25 - - [19/Jul/2022:10:02:34 +0900] "GET /myapp/fonts/NotoSansKr/NotoSansKR-Medium-Hestia.woff HTTP/1.1" 404 721
